Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,,,,,,,,,,0969706626
,['Lisa A. Peters'],1996,An illustrated study of American painter James Whistler.,0765199610,9780765199614.0,84.0,['Artists'],NOT_MATURE,en,0765199610
,"['Simon Welfare', 'John Fairley', 'Arthur Charles Clarke']",1980-01-01,,0002165368,9780002165365.0,216.0,['Curiosities and wonders'],NOT_MATURE,en,0002165368
,['Russell Baker'],1993,"Divided into sections including ""The Human Muddle"" and ""Family Life,"" a hilarious treasury of American humor draws on the work of H. L. Mencken, James Thurber, Zora Neale Hurston, Molly Ivins, P. J. O'Rourke, Ring Lardner, and others. 40,000 first printing.",0393035921,9780393035926.0,598.0,['Humor'],NOT_MATURE,en,0393035921
,['John Wood'],1974-01-01,,0133966224,9780133966220.0,203.0,['Émotions'],NOT_MATURE,en,0133966224
,['Robert Anthony'],1988,"Dr. Anthony's remarkable no-nonsense approach to total success offers workable strategies for turning dreams into reality. Using his simple step-by-step methods and positive visualization techniques, readers can learn to harness their own potential for success.",042510804X,9780425108048.0,164.0,['Self-Help'],NOT_MATURE,en,042510804X
,['Alma Greene'],1972,"Forbidden Voice, a clan's mother, explains the importance of the medicine man; the ceremonies and gods of the Mohawk Indians.",WISC:89060396355,,157.0,['Indians of North America'],NOT_MATURE,en,0600348296
,,,,,,,,,,0553761900
,"['Glenn D. Kittler', 'Doris Agee', 'W. H. McGary', 'Association for Research and Enlightenment, Inc. Staff', 'Harmon H. Bro', 'Mary E. Carter', 'Edgar Cayce', 'Hugh Lynn Cayce']",1988-06-01,"Here are Edgar Cayce's revelations surrounding the discovery of the Dead Sea Scrolls and the mysterious religious sect known as the Essenes, whose story will forever alter people's perceptions of true spiritual enlightenment.",0446351105,9780446351102.0,205.0,['Religion'],NOT_MATURE,en,0446351105
,['Thomas Sugrue'],1997,"Profiles the life of the late psychic, who could provide answers to questions on subjects ranging from medical problems to world events while in a hypnotic state.",0876043759,9780876043752.0,382.0,['Biography & Autobiography'],NOT_MATURE,en,0876043759
,['Jess Stearn'],1997,"This biography, written by New York Times bestselling author Jess Stearn, will hold the reader spellbound and in wonder at the enduring gift of enlightenment and knowledge left for us by America's most famous mystic.",0876043880,9780876043882.0,340.0,['Biography & Autobiography'],NOT_MATURE,en,0876043880
,,,,,,,,,,0743510267
,['Linda Goodman'],1997-02,"Goodman's personal favorite of all her books, an epic love story written in free verse!",1571740600,9781571740601.0,1081.0,['Fiction'],NOT_MATURE,en,1571740600
,['Jean-Charles de Fontbrune'],1983,,UOM:39015052931170,,506.0,['Prophecies'],NOT_MATURE,en,0330280627
,['Brad Steiger'],1986-08-01,"Argues that alien beings sent from another world to lead the Earth into a new golden age are living among us, and that many of them are unaware of their true nature",0425106039,9780425106037.0,,['Fiction'],NOT_MATURE,en,0425106039
