Unnamed: 0,authors,published_date,description,isbn_10,isbn_13,page_count,categories,maturity_rating,language,join_isbn_10
,,,,,,,,,,0312099320
,['Jerry Kennealy'],1989-01-01,"Jack Slate, author of numerous exposes, is set to participate in a golf tournament while working on his explosive new book, and when he dies in a plane crash, Nick Polo must find the missing manuscript",0312029640,9780312029647.0,181.0,['Fiction'],NOT_MATURE,en,0312029640
,['Sir Arthur Conan Doyle'],2001-12-31,"A collection of the most famous cases faced by Sir Arthur Conan Doyle's peerless creation This collection of The Adventures of Sherlock Holmes and the Memoirs of Sherlock Holmes includes many of the famous cases - and great strokes of brilliance - that made the legendary detective one of fiction's most popular creations. With his devoted amanuensis Dr Watson, Holmes emerges from his smoke filled room in Baker Street to grapple with the forces of treachery, intrigue and evil in such cases as 'The Speckled Band', in which a terrified woman begs their help in solving the mystery surrounding her sister's death, or 'A Scandal in Bohemia', which portrays a European king blackmailed by his mistress. In 'Silver Blaze' the pair investigate the disappearance of a racehorse and the violent murder of its trainer, while in 'The Final Problem' Holmes at last comes face to face with his nemesis, the diabolical Professor Moriarty - 'the Napoleon of crime'. In his introduction to this Penguin Classics edition, Iain Pears discusses characterization, the key themes of the stories and Victorian methods of deduction. This edition also includes a chronology, further reading and explanatory notes by Ed Glinert, author of The London Compendium. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",0140437711,9780140437713.0,0.0,['Fiction'],NOT_MATURE,en,0140437711
,['Daryl Worley'],1989,Billy ventures into his parents' dark attic only to slip on the ladder and dangle precariously from the trap door opening until his father comes to save him.,0924067004,9780924067006.0,36.0,['Fathers and sons'],NOT_MATURE,en,0924067004
,['Steve Martini'],1997,"Steve Martini's explosive new thriller finds attorney Paul Madriani the unlikely defense lawyer for an old nemesis. Judge Armando ""the Coconut"" Acosta is arrested on charges of soliciting prostitution in a sting operation for ""johns"". Abandoned by his friends on the Capital County bench, Acosta is forced, in an ironic twist, to ask Paul to save his career from impending doom.",8408021885,9788408021889.0,423.0,['Foreign Language Study'],NOT_MATURE,es,8408021885
,['Linda Rector-Page'],1997-10,"Over 65% of Americans now use some form of alternative health care, from vitamins to massage therapy to herbal supplements. These succint, inexpensive Healthy Healing Library booklets by Linda Rector-Page, N.D., Ph.D. help people make informed choices.",1884334660,9781884334665.0,100.0,['Health & Fitness'],NOT_MATURE,en,1884334660
,['Cait London'],2001-07-25,"A Loving Man by Cait London released on Jul 25, 2001 is available now for purchase.",0373763824,9780373763825.0,200.0,['Fiction'],NOT_MATURE,en,0373763824
,"['Karen Kreps', 'Richard Smith']",1986-12-01,,0440579465,9780440579465.0,144.0,['Humor'],NOT_MATURE,en,0440579465
,['G. A. McKevett'],1998,"Savannah Reid, the ""full-figured"" P.I., tracks down the killer of an actress-turned-health spa owner found dead in her own hot tub. Unmasking the murderer won't be easy, but Savannah knows the most delectable endings are always worth waiting for.",1575662981,9781575662985.0,328.0,"['California, Southern']",NOT_MATURE,en,1575662981
,,,,,,,,,,0060913452
