ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0312099320,Vintage Polo,Jerry Kennealy,1993,St Martins Pr,http://images.amazon.com/images/P/0312099320.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312099320.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312099320.01.LZZZZZZZ.jpg
0312029640,Polo in the Rough,Jerry Kennealy,1989,St Martins Pr,http://images.amazon.com/images/P/0312029640.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312029640.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312029640.01.LZZZZZZZ.jpg
0140437711,The Adventures of Sherlock Holmes &amp; the Memoirs of Sherlock Holmes (Penguin Classics),"Arthur Conan, Sir Doyle",2002,Penguin Books,http://images.amazon.com/images/P/0140437711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140437711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140437711.01.LZZZZZZZ.jpg
0924067004,Billy and the Attic Adventure,Daryle Worley,1989,Tyke Corporation,http://images.amazon.com/images/P/0924067004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0924067004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0924067004.01.LZZZZZZZ.jpg
8408021885,El Juramento,Steven Paul Martini,1999,"Editorial Planeta, S.A. (Barcelona)",http://images.amazon.com/images/P/8408021885.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/8408021885.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/8408021885.01.LZZZZZZZ.jpg
1884334660,Weight-Loss &amp; Cellulite Control (Healthy Healing Guides),Linda Page,1997,Healthy Healing Publications,http://images.amazon.com/images/P/1884334660.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1884334660.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1884334660.01.LZZZZZZZ.jpg
0373763824,"Loving Man (Desire, 1382)",Cait London,2001,Silhouette,http://images.amazon.com/images/P/0373763824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373763824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373763824.01.LZZZZZZZ.jpg
0440579465,The 60-Day Diet Diary,Karen Kreps,1982,Dell Publishing Company,http://images.amazon.com/images/P/0440579465.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440579465.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440579465.01.LZZZZZZZ.jpg
1575662981,Killer Calories: A Savannah Reid Mystery (Savannah Reid Mysteries (Paperback)),G. McKevett,1998,Kensington Publishing Corporation,http://images.amazon.com/images/P/1575662981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1575662981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1575662981.01.LZZZZZZZ.jpg
0060913452,North Gladiola,James Wilcox,1986,Harpercollins,http://images.amazon.com/images/P/0060913452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060913452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060913452.01.LZZZZZZZ.jpg
1571459987,The Essential Vegetarian Cookbook,Rachel Carter,2003,Thunder Bay Press (CA),http://images.amazon.com/images/P/1571459987.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1571459987.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1571459987.01.LZZZZZZZ.jpg
0931188725,Glory Days (International Women's Crime Series),Rosie Scott,1989,Pub Group West,http://images.amazon.com/images/P/0931188725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0931188725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0931188725.01.LZZZZZZZ.jpg
0816710422,Eddie's Menagerie,Carolyn Haywood,1987,Troll Communications Llc,http://images.amazon.com/images/P/0816710422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0816710422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0816710422.01.LZZZZZZZ.jpg
047129635X,Smart Guide to Getting Strong and Fit,Carole Bodger,1998,John Wiley &amp; Sons,http://images.amazon.com/images/P/047129635X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/047129635X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/047129635X.01.LZZZZZZZ.jpg
0062515373,Before the Change: Taking Charge of Your Perimenopause,Ann Louise Gittleman,1999,HarperSanFrancisco,http://images.amazon.com/images/P/0062515373.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062515373.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062515373.01.LZZZZZZZ.jpg
0373240066,"Cody'S Fiancee (The Family Way) (Silhouette Special Edition, No 1006)",Gina Ferris Wilkins,1995,Silhouette,http://images.amazon.com/images/P/0373240066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373240066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373240066.01.LZZZZZZZ.jpg
0345320808,Jackie Oh!,Kitty Kelly,1989,Ballantine Books,http://images.amazon.com/images/P/0345320808.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345320808.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345320808.01.LZZZZZZZ.jpg
0862729734,Spooky Stories (Treasuries),Jane Olliver,1992,Kingfisher Books,http://images.amazon.com/images/P/0862729734.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0862729734.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0862729734.01.LZZZZZZZ.jpg
0553273930,Journey Under the Sea (Choose Your Own Adventure),Raymond Montgomery,1982,Skylark Books,http://images.amazon.com/images/P/0553273930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553273930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553273930.01.LZZZZZZZ.jpg
1401081274,A Year of Samantha,B. D. Gardner,2003,Xlibris Corporation,http://images.amazon.com/images/P/1401081274.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1401081274.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1401081274.01.LZZZZZZZ.jpg
0874064058,The Bubble Gum Monster Strikes Again (Willowisp Sappling (Sic)),Marilyn D. Anderson,1989,Pages Publishing Group,http://images.amazon.com/images/P/0874064058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0874064058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0874064058.01.LZZZZZZZ.jpg
0553482483,"Disaster on Wheels (Camp at Your Own Risk, No 2)",Nancy Butcher,1995,Skylark Books,http://images.amazon.com/images/P/0553482483.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553482483.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553482483.01.LZZZZZZZ.jpg
0927545608,The Missing Video: Youth Adventure Story With an International Focus (Reel Kids Series),Dave Gustaveson,1993,YWAM Publishing,http://images.amazon.com/images/P/0927545608.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0927545608.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0927545608.01.LZZZZZZZ.jpg
9812325891,Scribbles from the Same Island,Neil Humphreys,2003,Times Media,http://images.amazon.com/images/P/9812325891.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/9812325891.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/9812325891.01.LZZZZZZZ.jpg
0752859056,The Song of Silver Frond,Catherine Lim,2004,Orion,http://images.amazon.com/images/P/0752859056.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0752859056.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0752859056.01.LZZZZZZZ.jpg
0385509669,All the Pope's Men : The Inside Story of How the Vatican Really Thinks,JOHN L. JR ALLEN,2004,Doubleday,http://images.amazon.com/images/P/0385509669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385509669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385509669.01.LZZZZZZZ.jpg
0830823166,How to Win the Culture War: A Christian Battle Plan for a Society in Crisis,Peter Kreeft,2002,InterVarsity Press,http://images.amazon.com/images/P/0830823166.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0830823166.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0830823166.01.LZZZZZZZ.jpg
1559360984,Angels in America: A Gay Fantasia on National Themes (Parts 1 &amp; 2),Tony Kushner,1995,Theatre Communications Group,http://images.amazon.com/images/P/1559360984.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559360984.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559360984.01.LZZZZZZZ.jpg
0425161498,Dead Silent,Robert Ferrigno,1998,Berkley Publishing Group,http://images.amazon.com/images/P/0425161498.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425161498.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425161498.01.LZZZZZZZ.jpg
0743244419,Vows of Silence : The Abuse of Power in the Papacy of John Paul II,Jason Berry,2004,Free Press,http://images.amazon.com/images/P/0743244419.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0743244419.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0743244419.01.LZZZZZZZ.jpg
085667513X,Portrait Miniatures in Enamel. The Gilbert Collection,Sarah Coffin,2003,Philip Wilson Publishers,http://images.amazon.com/images/P/085667513X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/085667513X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/085667513X.01.LZZZZZZZ.jpg
0521307813,Miniatures in the Collection of Her Majesty The Queen : The Eighteenth and Nineteenth Centuries (Catalogue of Miniatures in the Collection of H M The Queen),Richard Walker,1992,Cambridge University Press,http://images.amazon.com/images/P/0521307813.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0521307813.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0521307813.01.LZZZZZZZ.jpg
0553256017,Pathfinders,Gail Sheehy,1982,Bantam Doubleday Dell,http://images.amazon.com/images/P/0553256017.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553256017.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553256017.01.LZZZZZZZ.jpg
0500974829,The Sixteenth and Seventeenth-Century Miniatures: In the Collection of Her Majesty the Queen (Royal Collection),Graham Reynolds,2000,Royal Collection,http://images.amazon.com/images/P/0500974829.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0500974829.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0500974829.01.LZZZZZZZ.jpg
0809224275,The Insulin-Resistance Diet : How to Turn Off Your Body's Fat-Making Machine,Cheryle R. Hart M.D.,2001,McGraw-Hill/Contemporary Books,http://images.amazon.com/images/P/0809224275.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0809224275.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0809224275.01.LZZZZZZZ.jpg
0002115328,Mother Teresa: Her people and her work,Desmond Doig,1976,Collins,http://images.amazon.com/images/P/0002115328.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0002115328.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0002115328.01.LZZZZZZZ.jpg
0752516205,Pruning,Anthony Brooks,1996,Parragon Publishing,http://images.amazon.com/images/P/0752516205.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0752516205.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0752516205.01.LZZZZZZZ.jpg
1851582681,A home by the Hooghly: A jute wallah's wife,Eugenie Fraser,1989,Mainstream Pub,http://images.amazon.com/images/P/1851582681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1851582681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1851582681.01.LZZZZZZZ.jpg
0851164900,Friendship Book 1991,Francis Gay,1990,D.C. Thomson,http://images.amazon.com/images/P/0851164900.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0851164900.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0851164900.01.LZZZZZZZ.jpg
0340193875,"India: The speeches and reminiscences of Indira Gandhi, Prime Minister of India",Indira Gandhi,1975,Hodder and Stoughton,http://images.amazon.com/images/P/0340193875.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340193875.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340193875.01.LZZZZZZZ.jpg
0340721421,One Hundred Ways to Be Happy,Celia Haddon,1999,Trafalgar Square,http://images.amazon.com/images/P/0340721421.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0340721421.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0340721421.01.LZZZZZZZ.jpg
